"ID","Time","LifeSatisfaction","ConnectToPeople","StuckUnableChange","PaidAttToImport","HurtConnect","PersonalImpor","ExperienceRangeEmotions","StruggledToKeepDoing","NoMeaningfulChallenge","AbleToChangeBehavior","StuckToStrategies","NoOutletForFeelings","Complying","ThinkingHelpedLife","ThinkingGotInWay","HurtHealth","StruggledToConnectMoments","ImportantChallenge","HelpHealth"
"0BT5",20,38,12,1,74,1,79,15,1,1,98,100,1,1,59,1,1,6,88,92
"0BT5",21,33,42,18,39,18,33,39,15,63,23,41,23,80,62,23,15,27,31,49
"0BT5",22,30,19,75,24,7,32,17,70,87,35,72,31,29,19,36,7,31,29,24
"0BT5",23,16,12,82,29,13,36,23,82,98,22,18,64,61,27,29,17,64,17,29
"0BT5",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BT5",25,26,73,41,60,10,68,33,28,49,57,75,23,73,67,12,1,10,89,85
"0BT5",26,40,25,1,87,19,86,30,6,12,88,79,17,67,87,13,20,15,86,83
"0BT5",27,52,72,6,86,11,73,60,6,17,80,64,32,11,79,19,5,6,17,82
"0BT5",28,65,83,7,90,7,100,69,11,69,78,30,18,9,79,17,1,26,15,99
"0BT5",29,25,26,77,25,2,14,19,77,56,21,26,17,100,32,93,12,24,66,63
"0BT5",30,34,25,73,37,2,62,8,69,82,25,68,25,57,37,23,9,26,15,40
"0BT5",31,31,25,8,87,19,70,23,12,11,89,77,17,1,69,16,1,13,65,84
"0BT5",32,29,15,19,73,23,59,24,69,83,27,63,18,18,71,8,17,23,7,41
"0BT5",33,46,10,19,50,4,24,68,4,3,71,72,12,21,69,20,1,46,92,75
"0BT5",34,29,16,1,68,10,75,27,16,1,78,65,11,1,71,55,1,9,100,84
"0BT5",35,44,14,62,20,23,81,22,36,80,69,40,24,27,36,29,25,20,58,37
"0BT5",36,37,7,65,23,1,22,15,73,91,26,14,15,4,29,8,66,63,1,40
"0BT5",37,36,10,13,71,14,84,25,17,34,34,73,25,17,60,16,20,33,14,44
"0BT5",38,36,70,17,33,12,32,17,81,89,8,10,29,22,29,71,65,7,14,15
"0BT5",39,1,18,72,26,11,19,72,15,6,26,13,77,96,3,68,5,75,78,14
"0BT5",40,32,7,1,76,1,90,69,1,1,87,76,3,5,70,16,4,13,97,99
"0BT5",41,1,7,74,16,9,73,24,39,58,9,72,12,69,24,14,5,6,95,93
"0BT5",42,42,11,82,25,14,70,46,18,57,31,61,37,28,74,26,19,29,77,86
"0BT5",43,1,3,93,3,73,5,16,97,77,10,10,87,12,5,100,15,77,15,21
"0BT5",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BT5",45,25,9,74,17,6,6,20,12,79,24,49,11,23,77,19,72,26,24,11
"0BT5",46,3,74,69,19,12,55,70,83,96,6,20,65,15,23,72,78,71,3,9
"0BT5",47,36,4,13,14,3,67,78,13,9,24,62,16,72,76,21,1,20,85,74
"0BT5",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BT5",49,23,14,77,11,6,35,65,40,18,27,29,69,19,22,71,9,67,29,32
"0BT5",50,33,19,18,25,59,71,55,62,16,18,100,25,16,34,54,24,26,84,68
"0BT5",51,39,23,12,92,15,99,72,8,11,90,12,15,73,86,16,3,26,17,99
"0BT5",52,13,30,5,74,15,80,40,16,1,75,11,29,66,36,14,8,13,83,72
"0BT5",53,7,15,84,58,19,16,9,79,100,22,51,73,90,70,15,70,24,15,26
"0BT5",54,27,22,81,36,18,17,26,79,87,21,28,67,27,93,15,60,30,15,10
"0BT5",55,20,20,76,20,15,76,26,77,88,24,34,66,65,27,20,70,69,18,15
"0BT5",56,26,15,92,18,2,84,27,90,100,14,18,82,21,30,69,78,47,12,9
"0BT5",57,29,8,23,64,20,70,27,10,18,85,28,28,21,75,11,16,27,74,75
"0BT5",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0BT5",59,37,15,6,69,20,74,26,13,29,30,80,26,8,81,13,10,13,72,78
"0BT5",60,35,24,15,74,16,77,25,26,13,67,82,20,4,44,67,16,21,74,80
"0BT5",61,36,21,6,67,1,77,60,11,2,62,78,15,1,71,12,13,24,82,94
"0BT5",62,11,61,65,23,13,64,73,72,27,21,83,12,16,44,61,13,29,64,71
"0BT5",63,16,18,93,21,16,23,19,80,62,19,28,72,22,18,83,59,26,21,25
"0BT5",64,14,1,75,24,19,39,26,85,21,41,69,83,14,31,64,34,23,62,64
"0BT5",65,38,15,13,59,6,28,1,25,4,38,85,70,84,36,65,6,36,80,89
"0BT5",66,27,18,71,29,6,81,59,28,14,68,87,41,35,68,37,18,22,76,77
"0GME",1,68,15,2,75,3,36,61,0,35,65,96,0,65,70,0,5,0,71,38
"0GME",2,71,77,0,73,3,68,97,0,30,77,79,0,32,98,0,0,0,69,62
"0GME",3,97,29,0,71,0,79,77,0,72,75,75,0,62,73,70,0,0,68,33
"0GME",4,77,70,4,97,0,70,100,0,0,100,76,0,23,67,0,0,0,65,71
"0GME",5,70,98,3,69,0,32,100,0,69,99,97,0,74,65,0,1,2,29,36
"0GME",6,74,96,1,99,2,79,99,0,34,100,100,0,21,100,0,0,0,70,35
"0GME",7,70,100,0,60,67,66,99,0,0,75,72,0,67,73,68,0,0,69,65
"0GME",8,41,100,0,100,0,79,78,0,32,100,99,0,66,68,30,0,0,64,63
"0GME",9,77,100,2,99,0,99,99,0,0,70,98,0,1,69,2,0,0,79,78
"0GME",10,72,99,0,99,0,80,100,71,26,100,100,0,18,100,0,0,0,100,70
"0GME",11,100,21,0,100,0,100,100,0,0,100,100,0,1,100,0,0,0,68,65
"0GME",12,100,100,1,100,0,100,100,0,0,100,100,0,0,100,0,0,0,100,69
"0GME",13,77,98,3,96,0,100,100,0,40,100,100,0,0,100,0,0,0,100,100
"0GME",14,100,100,2,100,0,100,100,0,0,100,100,0,0,100,3,0,0,69,70
"0GME",15,100,100,0,100,0,100,100,29,29,100,100,0,75,100,0,0,0,75,100
"0GME",16,77,100,0,100,0,74,100,0,1,100,100,0,65,73,100,0,0,70,100
"0GME",17,36,37,75,74,64,33,100,20,1,66,75,25,70,67,68,0,27,65,34
"0GME",18,69,70,0,68,0,35,100,30,36,72,100,3,67,99,0,4,1,30,65
"0GME",19,66,1,0,42,21,40,69,37,77,64,70,0,70,61,0,0,23,0,38
"0GME",20,33,38,32,67,27,43,63,67,74,42,44,40,77,41,39,42,79,0,0
"0GME",21,72,69,0,66,0,100,100,0,0,100,100,1,62,100,3,0,0,64,100
"0GME",22,68,30,31,70,0,100,100,32,68,76,98,2,76,75,0,0,23,28,100
"0GME",23,67,76,0,67,3,30,75,38,72,42,68,31,66,46,36,0,75,31,33
"0GME",24,36,62,27,72,29,35,70,36,34,67,70,0,65,63,34,31,35,35,37
"0GME",25,69,71,0,100,0,100,100,0,36,69,100,0,0,72,0,3,3,72,68
"0GME",26,100,100,0,100,0,100,100,0,0,100,100,3,27,73,69,0,0,70,67
"0GME",27,100,0,0,66,0,68,100,0,0,73,100,0,0,72,0,0,0,72,74
"0GME",28,70,100,0,100,0,100,71,0,0,100,100,0,0,100,0,1,0,100,100
"0GME",29,31,68,0,100,3,69,100,0,28,74,76,0,70,71,73,0,68,36,36
"0GME",30,36,24,0,100,0,100,100,19,0,73,100,0,77,33,0,0,70,34,33
"0GME",31,79,0,3,100,0,65,100,0,0,77,98,0,73,66,0,0,29,30,65
"0GME",32,65,3,0,62,1,68,70,31,27,67,97,0,38,69,4,1,32,29,42
"0GME",33,74,0,0,71,0,100,69,0,0,76,74,0,0,73,0,0,0,100,15
"0GME",34,37,72,34,100,0,100,71,0,0,100,74,1,34,68,0,0,3,100,0
"0GME",35,78,63,0,100,0,100,100,0,0,66,100,0,66,63,0,0,21,76,27
"0GME",36,38,0,29,100,2,65,81,33,39,36,69,0,32,73,0,0,33,34,38
"0GME",37,73,0,0,100,0,100,100,0,86,66,100,2,28,75,1,0,0,41,65
"0GME",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0GME",39,100,100,0,97,0,100,100,0,0,71,78,0,33,100,0,0,0,69,74
"0GME",40,98,100,0,100,0,100,100,0,0,100,100,0,28,100,0,0,0,70,65
"0GME",41,100,96,0,96,0,100,96,0,0,100,100,0,0,100,0,0,0,97,77
"0GME",42,80,96,0,96,0,73,100,0,40,100,100,0,0,100,0,3,4,72,71
"0GME",43,99,28,0,100,3,100,100,1,27,100,100,0,70,100,0,0,0,100,100
"0GME",44,71,68,69,67,0,67,78,33,32,78,77,28,67,70,0,36,0,33,37
"0GME",45,76,100,0,100,0,72,97,0,72,76,100,0,73,67,0,0,35,66,65
"0GME",46,76,67,0,72,31,66,100,66,35,70,75,0,35,73,36,0,23,72,69
"0GME",47,73,2,0,65,0,67,100,1,1,80,100,0,67,100,0,0,0,21,31
"0GME",48,42,80,0,72,0,100,100,75,73,37,73,2,77,73,0,39,32,71,68
"0GME",49,70,0,0,28,0,72,74,71,71,71,75,0,38,39,64,0,71,38,37
"0GME",50,76,28,0,72,0,75,100,30,66,72,100,0,67,68,0,0,29,32,35
"0GME",51,71,0,38,100,0,68,70,36,77,75,100,0,69,69,0,0,66,31,0
"0GME",52,66,66,0,100,0,70,75,0,72,70,72,22,67,67,71,27,38,35,32
"0GME",53,66,77,2,67,68,75,72,0,0,100,100,0,70,100,0,0,1,72,67
"0GME",54,71,78,0,100,0,74,100,0,0,100,100,0,36,78,0,0,0,69,64
"0GME",55,68,73,0,69,0,68,69,2,0,64,73,0,0,100,3,3,0,39,0
"0GME",56,65,75,0,68,0,69,66,0,0,71,71,0,28,69,0,32,38,39,40
"0GME",57,72,64,0,63,0,100,78,0,37,70,100,0,71,64,0,0,2,69,100
"0GME",58,70,71,0,69,0,98,100,0,28,97,100,0,73,75,0,0,0,73,100
"0GME",59,69,71,0,81,0,71,79,3,71,74,77,0,25,72,0,0,0,37,24
"0GME",60,78,74,0,73,0,69,100,3,76,83,100,0,69,75,0,5,0,29,72
"0GME",61,66,69,0,72,0,64,65,32,32,72,100,0,81,66,0,0,30,69,65
"0GME",62,77,70,0,70,0,66,71,0,35,79,99,0,69,75,0,0,33,70,66
"3ERE",1,65,20,1,70,0,93,75,12,6,61,82,14,34,67,13,7,15,70,80
"3ERE",2,72,77,0,75,0,77,82,0,0,63,76,11,26,63,9,26,20,71,71
"3ERE",3,82,65,0,79,0,80,78,26,2,77,85,17,37,85,12,24,15,78,74
"3ERE",4,84,78,10,71,0,98,70,23,89,78,89,18,17,90,83,2,19,86,87
"3ERE",5,88,99,19,97,4,100,86,4,0,76,94,8,70,88,10,0,6,86,100
"3ERE",6,77,80,17,92,7,90,78,15,12,71,90,10,41,84,16,10,13,83,79
"3ERE",7,82,83,1,87,0,66,77,22,11,65,86,18,41,75,17,14,20,81,88
"3ERE",8,69,74,16,91,9,82,84,19,17,75,86,12,35,73,14,9,13,80,86
"3ERE",9,79,70,27,65,8,72,69,20,14,68,80,17,40,71,15,9,12,71,77
"3ERE",10,84,80,12,90,9,84,75,16,19,70,85,18,39,82,16,10,19,81,87
"3ERE",11,74,72,28,87,16,84,74,17,15,72,88,18,33,75,17,10,14,83,88
"3ERE",12,80,81,16,90,13,65,82,20,16,67,83,13,40,82,22,16,16,83,85
"3ERE",13,82,78,30,85,16,81,77,16,14,61,83,12,38,82,12,10,19,74,87
"3ERE",14,72,83,18,79,20,62,77,16,17,63,80,20,39,76,19,17,16,72,86
"3ERE",15,79,69,15,72,19,93,73,12,18,84,93,12,16,86,13,6,15,74,89
"3ERE",16,83,86,16,89,12,77,86,16,17,84,89,16,30,77,22,15,20,85,89
"3ERE",17,88,67,13,89,14,93,80,11,9,65,84,14,28,81,31,12,11,84,77
"3ERE",18,88,87,12,89,11,81,83,15,16,65,86,17,21,83,14,15,14,83,90
"3ERE",19,72,67,33,79,34,63,78,24,18,71,77,21,64,77,23,10,22,73,89
"3ERE",20,81,79,19,80,11,74,83,9,16,83,79,13,46,80,13,14,15,78,82
"3ERE",21,85,84,10,82,11,62,80,11,11,72,88,14,41,83,22,11,12,85,87
"3ERE",22,80,82,16,74,15,79,79,16,13,74,87,17,35,80,15,8,13,85,91
"3ERE",23,77,83,14,87,16,81,78,10,12,82,75,12,37,84,15,9,24,78,87
"3ERE",24,89,91,7,89,8,90,88,11,10,89,86,14,32,88,15,7,9,90,90
"3ERE",25,82,88,14,88,9,85,85,12,23,82,72,14,32,86,20,9,14,90,86
"3ERE",26,84,89,12,85,19,73,86,15,9,75,83,12,37,80,16,9,12,72,85
"3ERE",27,68,82,23,73,12,62,74,19,16,67,82,9,63,80,15,11,16,75,89
"3ERE",28,90,85,10,86,12,80,86,21,18,79,87,12,36,81,12,18,14,85,87
"3ERE",29,81,87,13,85,11,84,78,16,15,80,84,8,18,82,13,13,10,87,88
"3ERE",30,87,82,16,83,16,86,83,11,11,69,83,16,39,80,15,8,15,86,83
"3ERE",31,89,89,16,86,12,93,84,8,11,69,90,8,18,86,13,12,14,88,89
"3ERE",32,86,84,11,90,8,87,81,14,7,73,85,12,11,81,17,10,11,88,91
"3ERE",33,81,79,29,76,14,69,78,19,22,72,81,14,40,68,30,12,19,73,89
"3ERE",34,81,80,15,87,11,74,80,15,13,78,86,20,45,81,14,14,18,84,85
"3ERE",35,84,74,13,81,15,85,79,16,24,73,87,22,42,80,22,11,22,79,88
"3ERE",36,89,87,14,91,10,85,80,13,14,78,88,15,32,83,14,12,17,87,93
"3ERE",37,87,87,16,81,17,83,85,12,16,85,87,12,41,85,12,9,16,84,87
"3ERE",38,82,87,14,77,13,87,80,17,15,84,83,20,41,81,14,11,16,86,86
"3ERE",39,84,84,14,93,12,77,90,13,11,78,87,17,36,85,10,7,12,85,91
"3ERE",40,85,81,18,86,12,83,87,18,13,75,84,14,40,84,28,12,17,83,84
"3ERE",41,86,92,10,92,11,88,84,11,7,79,94,6,20,82,11,7,15,89,90
"3ERE",42,86,90,9,89,8,85,80,17,13,77,81,16,38,86,16,12,12,82,89
"3ERE",43,87,95,10,89,11,91,91,13,9,86,87,14,27,81,21,9,14,92,89
"3ERE",44,88,95,9,88,86,90,91,12,13,85,83,12,19,82,13,12,8,89,89
"3ERE",45,89,85,12,85,18,87,88,14,9,76,84,19,23,83,17,12,14,87,95
"3ERE",46,87,88,13,87,13,91,89,15,13,84,86,12,21,88,10,15,14,78,85
"3ERE",47,83,92,9,84,15,88,83,14,9,87,73,17,36,79,21,11,15,80,86
"3ERE",48,89,91,10,87,12,88,86,15,9,75,82,15,41,77,9,11,13,87,89
"3ERE",49,82,81,23,72,13,80,72,21,17,76,80,20,41,74,16,13,22,81,88
"3ERE",50,90,87,12,84,13,82,83,10,11,82,86,12,32,85,12,10,11,87,90
"3ERE",51,87,90,12,87,10,88,87,13,11,74,89,9,40,81,17,15,10,85,87
"3ERE",52,89,88,13,89,9,87,88,11,12,85,88,11,38,88,13,11,13,86,91
"3ERE",53,87,91,17,87,10,74,84,6,13,79,91,12,43,85,13,12,12,81,90
"3ERE",54,83,92,12,89,7,91,88,9,9,91,93,11,35,89,12,14,14,91,89
"3ERE",55,90,89,8,93,12,90,89,12,11,83,93,11,26,86,5,10,14,89,93
"3ERE",56,80,87,10,89,6,82,72,14,16,84,85,22,34,82,17,10,25,79,81
"3ERE",57,84,78,12,90,17,79,71,21,17,77,87,19,27,79,18,21,16,81,88
"3ERE",58,72,88,17,72,10,77,87,18,10,80,85,16,32,78,15,11,15,84,84
"3ERE",59,89,91,9,95,8,85,90,11,11,88,90,10,10,86,15,11,13,87,94
"3ERE",60,86,89,10,86,12,80,81,17,11,81,86,15,29,81,13,18,25,83,86
"3ERE",61,80,88,13,84,14,69,78,14,11,82,85,13,46,85,16,11,17,85,87
"3ERE",62,85,82,14,88,16,84,87,17,12,84,85,14,41,80,13,10,9,86,86
"30V7",1,56,76,6,49,0,84,51,20,3,63,71,0,0,59,0,0,0,7,81
"30V7",2,48,0,5,10,3,51,1,1,6,20,88,0,0,51,0,0,0,22,72
"30V7",3,53,68,2,78,0,65,77,1,1,53,62,1,0,62,0,0,0,25,50
"30V7",4,48,0,0,48,0,46,51,0,0,0,55,0,0,0,0,7,29,0,88
"30V7",5,59,62,11,73,0,85,70,0,11,48,48,0,0,51,0,11,0,44,50
"30V7",6,37,77,0,53,0,65,82,14,0,67,80,0,0,22,4,6,10,48,51
"30V7",7,50,51,0,60,0,80,88,37,16,51,49,2,0,56,0,11,0,51,74
"30V7",8,50,14,0,70,0,87,92,0,0,47,52,0,0,26,0,0,0,39,69
"30V7",9,47,73,10,49,1,47,92,27,0,57,49,2,0,51,0,18,0,50,58
"30V7",10,59,72,0,69,0,56,85,19,12,67,50,5,3,35,5,10,0,54,68
"30V7",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",12,46,68,0,67,0,61,83,4,3,67,54,0,1,58,7,11,0,51,43
"30V7",13,52,66,0,82,0,72,86,2,0,50,69,0,0,68,12,17,0,59,27
"30V7",14,45,58,0,72,56,58,77,5,49,52,67,7,0,51,0,18,0,42,60
"30V7",15,48,49,0,68,52,82,92,4,6,9,66,0,0,50,0,0,27,50,63
"30V7",16,49,55,6,76,5,72,72,3,0,53,52,0,0,51,0,20,0,47,31
"30V7",17,55,47,0,69,0,67,96,11,12,50,66,1,0,45,4,26,6,37,30
"30V7",18,40,64,1,85,0,90,97,32,4,49,53,0,0,46,0,37,0,71,26
"30V7",19,43,87,2,75,1,66,84,0,15,47,62,7,0,52,2,24,0,22,49
"30V7",20,53,91,0,85,17,64,90,0,2,55,57,0,0,52,0,31,0,52,26
"30V7",21,47,80,1,68,0,66,100,0,21,43,50,0,29,57,21,2,13,41,22
"30V7",22,49,67,0,51,0,65,83,17,0,60,54,0,3,35,0,40,2,49,42
"30V7",23,49,84,0,68,0,57,83,14,38,49,55,0,0,65,1,33,0,43,45
"30V7",24,49,70,9,75,3,79,89,0,7,63,44,0,2,46,0,8,0,48,72
"30V7",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",26,49,70,15,64,0,67,94,0,3,81,71,0,2,70,8,25,1,65,40
"30V7",27,41,90,0,75,0,83,90,74,0,37,50,0,0,65,0,54,0,88,36
"30V7",28,22,76,0,90,0,60,81,58,13,48,24,0,0,27,0,55,0,21,24
"30V7",29,44,68,0,79,50,67,82,5,14,45,57,6,3,57,5,7,49,64,49
"30V7",30,46,54,25,82,12,78,88,0,12,53,49,0,0,49,0,29,7,54,21
"30V7",31,38,61,15,78,14,66,88,18,16,47,49,14,0,47,24,37,6,50,34
"30V7",32,38,48,5,67,5,75,86,0,4,76,51,0,1,52,3,7,6,24,71
"30V7",33,38,79,0,75,0,50,89,0,1,64,65,2,0,82,1,6,2,68,88
"30V7",34,41,55,0,78,0,59,96,3,15,53,75,9,0,54,0,29,1,73,30
"30V7",35,38,74,1,80,61,83,96,17,9,66,52,4,0,51,0,28,0,61,32
"30V7",36,38,68,4,73,2,78,88,0,0,69,51,0,0,70,0,30,0,77,30
"30V7",37,0,72,3,76,2,77,90,5,6,53,42,1,0,53,38,26,3,23,25
"30V7",38,37,73,0,68,17,75,85,14,77,75,78,6,2,46,11,34,3,46,30
"30V7",39,37,66,17,88,5,63,84,40,3,46,72,8,1,43,0,36,2,75,31
"30V7",40,29,38,19,65,18,63,75,5,11,52,21,0,10,39,18,35,2,42,31
"30V7",41,44,68,1,77,14,89,88,30,27,55,64,3,0,62,2,38,0,82,41
"30V7",42,46,67,9,85,8,70,91,7,2,75,40,1,1,46,0,4,14,73,69
"30V7",43,42,71,2,79,11,84,89,9,2,96,47,7,0,85,7,1,8,85,93
"30V7",44,44,54,0,69,6,84,84,2,6,66,51,1,0,51,5,24,0,50,47
"30V7",45,32,52,9,84,0,85,80,14,11,47,59,1,7,53,5,35,2,67,36
"30V7",46,45,75,3,80,3,77,86,4,34,63,68,0,3,66,0,36,0,51,47
"30V7",47,37,73,4,81,0,71,97,40,0,30,78,0,0,76,0,20,0,72,43
"30V7",48,47,85,13,83,6,90,96,0,9,72,59,31,0,49,36,29,7,69,36
"30V7",49,35,52,0,69,0,73,93,25,0,48,68,0,0,50,0,33,0,97,16
"30V7",50,47,61,5,79,5,67,88,47,0,79,59,3,1,48,7,0,12,47,24
"30V7",51,41,80,0,73,2,21,79,13,0,41,63,0,0,55,3,3,7,73,67
"30V7",52,37,66,5,86,1,65,96,3,0,47,75,0,0,86,0,18,0,85,51
"30V7",53,35,84,0,85,0,92,87,5,4,66,51,0,0,62,5,30,0,82,35
"30V7",54,28,61,0,88,0,63,89,3,49,51,53,0,0,51,0,10,0,47,36
"30V7",55,9,68,0,82,1,83,100,80,0,9,51,0,0,56,0,74,0,74,31
"30V7",56,36,69,5,70,8,66,86,8,10,73,51,4,1,49,0,18,5,48,30
"30V7",57,39,83,2,70,0,79,72,23,0,30,50,5,0,52,3,37,0,52,28
"30V7",58,21,75,2,81,1,80,87,0,15,79,48,0,1,50,0,22,2,47,28
"30V7",59,38,87,8,93,8,92,95,18,0,56,70,0,0,48,3,15,0,82,30
"30V7",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",62,17,59,1,71,0,51,89,26,24,48,47,0,0,55,5,30,4,48,30
"30V7",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",64,29,73,9,89,0,64,100,0,7,65,54,4,4,49,4,30,5,70,33
"30V7",65,40,63,0,86,13,69,100,1,0,56,63,2,0,49,0,25,0,73,20
"30V7",66,36,74,0,74,0,77,80,0,9,48,53,5,0,71,0,23,0,75,30
"30V7",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30V7",68,35,73,4,85,5,89,97,7,0,75,69,0,0,50,0,27,0,80,60
"30V7",69,36,83,0,64,8,72,79,5,0,76,57,4,3,70,1,18,0,70,30
"3Q7C",1,72,73,26,80,13,79,68,12,15,72,74,10,58,75,6,15,10,62,73
"3Q7C",2,76,63,10,73,6,70,62,13,11,59,74,10,59,69,9,16,13,65,74
"3Q7C",3,85,69,11,76,11,58,60,10,64,65,74,12,56,69,22,11,12,69,75
"3Q7C",4,84,65,12,76,6,66,62,9,24,74,74,26,67,76,72,10,11,78,81
"3Q7C",5,82,64,15,70,16,76,60,15,28,68,69,22,62,67,17,17,19,75,73
"3Q7C",6,86,70,9,74,11,72,65,14,16,68,80,17,60,76,7,14,14,75,80
"3Q7C",7,85,75,24,75,73,82,64,16,26,70,71,12,61,69,14,15,17,62,75
"3Q7C",8,85,72,18,71,20,70,69,18,19,70,71,20,61,73,11,13,17,71,81
"3Q7C",9,83,80,22,70,24,75,72,22,22,76,74,15,56,63,68,16,18,76,74
"3Q7C",10,85,67,16,76,12,65,67,10,19,79,76,15,58,72,15,17,21,68,76
"3Q7C",11,79,68,17,68,15,65,59,17,21,60,75,16,58,64,63,13,11,70,77
"3Q7C",12,86,71,20,68,16,75,61,10,16,65,70,16,65,74,12,11,18,72,81
"3Q7C",13,84,78,11,70,16,75,67,14,18,67,72,19,73,71,20,19,21,72,81
"3Q7C",14,84,71,14,71,9,63,61,24,18,66,74,21,60,65,21,21,16,69,85
"3Q7C",15,86,73,19,72,18,67,69,16,19,67,68,18,71,65,20,20,23,75,74
"3Q7C",16,85,70,21,74,26,74,73,26,18,70,77,15,50,76,70,14,61,74,75
"3Q7C",17,76,65,17,72,17,67,65,17,21,65,71,14,65,67,17,15,15,70,75
"3Q7C",18,86,72,16,71,8,74,61,14,17,72,76,14,18,76,15,12,18,68,78
"3Q7C",19,78,70,18,73,18,69,72,14,13,70,72,14,70,70,19,19,17,68,78
"3Q7C",20,85,78,15,71,10,62,68,11,14,72,82,9,59,72,14,12,15,84,77
"3Q7C",21,87,74,24,72,14,66,67,18,15,71,72,18,67,71,14,12,18,79,73
"3Q7C",22,81,71,22,70,25,64,66,19,19,60,75,17,57,74,18,17,16,71,70
"3Q7C",23,84,77,21,76,18,71,18,66,24,66,79,13,71,20,25,14,22,72,76
"3Q7C",24,85,69,18,70,16,64,68,22,18,69,71,19,60,63,18,14,19,75,75
"3Q7C",25,82,73,17,68,12,66,62,21,20,78,66,18,56,69,19,16,12,69,69
"3Q7C",26,83,75,74,71,19,73,58,18,24,73,82,16,60,70,10,20,20,76,82
"3Q7C",27,79,69,16,70,23,69,64,20,21,76,75,20,64,69,16,13,18,73,70
"3Q7C",28,83,67,19,63,14,69,66,11,15,65,77,15,58,62,18,17,22,62,68
"3Q7C",29,83,69,21,74,18,67,70,21,22,62,72,19,60,70,15,24,20,75,67
"3Q7C",30,86,62,16,69,14,60,65,18,20,65,66,16,65,58,19,15,24,80,73
"3Q7C",31,81,69,20,75,20,58,65,20,18,71,68,22,62,71,24,19,24,80,71
"3Q7C",32,83,67,19,67,19,69,76,25,27,61,63,25,68,64,27,21,20,60,74
"3Q7C",33,81,71,16,66,19,67,61,20,19,67,64,20,58,64,14,14,22,78,75
"3Q7C",34,82,74,23,76,16,75,71,20,18,70,24,18,60,72,19,18,25,82,74
