"ID","Time","PAffect","FocusImportantMoments","AllowFeelings","ObserveThoughtsDistance","SelfPole","ChoseValue","CommitAction"
7129,3,NA,NA,NA,NA,NA,NA,NA
7129,4,72.25,75,61,62,55,69,75
7129,5,72.75,80,69,70,60,71,74
7129,6,76,79,79,79,80,82,80
7129,7,95,95,92,100,100,100,92
7129,8,92.5,97,95,98,80,100,100
7129,9,NA,NA,NA,NA,NA,NA,NA
7129,10,75.5,75,72,80,85,83,80
7129,11,71.5,80,79,80,80,85,85
7129,12,70.75,74,74,78,65,100,79
7129,13,74,93,100,90,100,87,79
7129,14,76.25,89,79,81,79,76,71
7129,15,NA,NA,NA,NA,NA,NA,NA
7129,16,75.75,74,81,78,80,82,79
7129,17,56.25,79,68,71,72,71,77
7129,18,64,74,73,80,81,79,78
7129,19,NA,NA,NA,NA,NA,NA,NA
7129,20,70.75,81,69,70,73,73,62
7129,21,NA,NA,NA,NA,NA,NA,NA
7129,22,67.25,69,72,73,100,100,71
7129,23,NA,NA,NA,NA,NA,NA,NA
7129,24,66,82,78,65,59,53,77
7129,25,NA,NA,NA,NA,NA,NA,NA
7129,26,NA,NA,NA,NA,NA,NA,NA
7129,27,NA,NA,NA,NA,NA,NA,NA
7129,28,58,59,57,52,59,59,56
7129,29,NA,NA,NA,NA,NA,NA,NA
7129,30,NA,NA,NA,NA,NA,NA,NA
7129,31,NA,NA,NA,NA,NA,NA,NA
7129,32,NA,NA,NA,NA,NA,NA,NA
7129,33,NA,NA,NA,NA,NA,NA,NA
7129,34,74.25,65,61,69,68,71,78
7129,35,NA,NA,NA,NA,NA,NA,NA
7129,36,NA,NA,NA,NA,NA,NA,NA
7129,37,NA,NA,NA,NA,NA,NA,NA
7129,38,NA,NA,NA,NA,NA,NA,NA
7129,39,NA,NA,NA,NA,NA,NA,NA
7129,40,NA,NA,NA,NA,NA,NA,NA
7129,41,NA,NA,NA,NA,NA,NA,NA
7129,42,NA,NA,NA,NA,NA,NA,NA
7130,1,53,82,55,69,53,75,61
7130,2,63.75,82,70,56,61,70,71
7130,3,NA,NA,NA,NA,NA,NA,NA
7130,4,NA,NA,NA,NA,NA,NA,NA
7130,5,59.75,75,57,63,67,79,76
7130,6,NA,NA,NA,NA,NA,NA,NA
7130,7,NA,NA,NA,NA,NA,NA,NA
7130,8,80.75,79,75,76,83,82,88
7130,9,85.75,84,73,77,77,86,82
7130,10,NA,NA,NA,NA,NA,NA,NA
7130,11,59.25,58,67,69,51,75,69
7130,12,65,85,53,75,78,83,77
7130,13,56,93,82,75,79,86,82
7130,14,NA,NA,NA,NA,NA,NA,NA
7130,15,78.25,NA,NA,NA,NA,NA,NA
7130,16,NA,NA,NA,NA,NA,NA,NA
7130,17,76.75,82,72,59,72,75,78
7130,18,64.5,51,73,57,78,72,73
7130,19,NA,NA,NA,NA,NA,NA,NA
7130,20,NA,NA,NA,NA,NA,NA,NA
7130,21,88.25,86,82,96,93,88,64
7130,22,NA,NA,NA,NA,NA,NA,NA
7130,23,71.75,81,73,75,73,81,73
7130,24,NA,NA,NA,NA,NA,NA,NA
7130,25,65.25,85,75,78,75,79,82
7130,26,64,85,60,72,73,55,70
7130,27,75.75,87,82,95,76,73,77
7130,28,NA,NA,NA,NA,NA,NA,NA
7130,29,NA,NA,NA,NA,NA,NA,NA
7130,30,55.75,85,72,75,75,76,62
7130,31,69.5,80,77,83,75,76,75
7130,32,NA,NA,NA,NA,NA,NA,NA
7130,33,84,83,83,85,83,84,85
7130,34,NA,NA,NA,NA,NA,NA,NA
7130,35,67.5,83,62,75,78,90,83
7130,36,68,83,80,80,80,81,70
7130,37,NA,NA,NA,NA,NA,NA,NA
7130,38,61.5,81,76,74,81,66,69
7130,39,49.75,78,40,73,51,71,75
7130,40,NA,NA,NA,NA,NA,NA,NA
7130,41,NA,NA,NA,NA,NA,NA,NA
7130,42,60.5,80,51,58,59,73,72
7134,1,62.75,90,92,73,98,99,87
7134,2,50,65,93,82,59,73,70
7134,3,NA,NA,NA,NA,NA,NA,NA
7134,4,51,87,92,78,83,99,88
7134,5,61.5,82,68,92,89,100,68
7134,6,72,87,100,98,83,96,96
7134,7,89.5,93,100,73,91,98,72
7134,8,NA,NA,NA,NA,NA,NA,NA
7134,9,NA,NA,NA,NA,NA,NA,NA
7134,10,46,97,100,97,78,78,57
7134,11,94,93,82,98,88,95,71
7134,12,94.75,100,98,96,82,95,99
7134,13,92.25,99,97,96,94,100,95
7134,14,96.75,94,68,85,65,93,84
7134,15,NA,NA,NA,NA,NA,NA,NA
7134,16,77.25,85,62,88,45,91,50
7134,17,77.5,76,68,63,83,100,100
7134,18,56.75,43,78,82,87,94,82
7134,19,36,93,76,84,68,30,44
7134,20,33.5,96,85,73,53,66,45
7134,21,NA,NA,NA,NA,NA,NA,NA
7134,22,42.5,93,74,57,77,95,33
7134,23,52.5,91,72,77,55,85,52
7134,24,45.75,98,87,73,74,68,54
7134,25,76.75,91,85,88,71,96,60
7134,26,57.5,90,85,81,96,65,62
7134,27,NA,NA,NA,NA,NA,NA,NA
7134,28,40.75,62,51,46,23,49,15
7134,29,32.25,31,44,35,9,8,22
7134,30,42.75,49,66,42,21,42,33
7134,31,33.25,77,70,37,11,65,48
7134,32,56.25,67,86,60,53,65,54
7134,33,NA,NA,NA,NA,NA,NA,NA
7134,34,74.25,75,74,61,14,36,79
7134,35,59.75,68,85,89,38,67,53
7134,36,73,89,87,63,77,70,64
7134,37,51,62,46,87,48,71,39
7134,38,57.5,88,70,92,62,86,60
7134,39,NA,NA,NA,NA,NA,NA,NA
7134,40,46.75,56,43,62,13,89,12
7134,41,NA,NA,NA,NA,NA,NA,NA
7134,42,NA,NA,NA,NA,NA,NA,NA
7138,1,81.5,98,76,76,81,100,100
7138,2,93.25,87,70,79,100,98,100
7138,3,77.75,97,78,85,86,100,75
7138,4,NA,NA,NA,NA,NA,NA,NA
7138,5,82,98,74,75,100,76,100
7138,6,80,97,72,76,81,100,100
7138,7,69.75,82,75,66,81,51,52
7138,8,81,98,78,86,86,86,100
7138,9,79.5,97,90,97,84,85,78
7138,10,NA,NA,NA,NA,NA,NA,NA
7138,11,85.5,99,83,85,100,98,83
7138,12,84.5,99,75,76,78,100,98
7138,13,84.75,100,76,84,82,99,100
7138,14,84,100,79,54,100,79,100
7138,15,89.25,99,83,80,89,82,77
7138,16,NA,NA,NA,NA,NA,NA,NA
7138,17,82.25,99,99,30,72,82,99
7138,18,94.25,85,57,51,75,99,97
7138,19,95,99,71,78,81,98,100
7138,20,98.75,99,56,87,100,99,84
7138,21,100,100,75,80,100,99,100
7138,22,NA,NA,NA,NA,NA,NA,NA
7138,23,99.25,100,100,81,80,98,81
7138,24,88.75,100,78,75,84,100,98
7138,25,NA,NA,NA,NA,NA,NA,NA
7138,26,94.75,98,66,35,56,73,79
7138,27,95.25,98,52,73,100,97,100
7138,28,NA,NA,NA,NA,NA,NA,NA
7138,29,NA,NA,NA,NA,NA,NA,NA
7138,30,82.25,90,80,83,82,93,85
7138,31,82,100,77,77,99,76,74
7138,32,NA,NA,NA,NA,NA,NA,NA
7138,33,85.5,100,81,79,100,100,99
7138,34,NA,NA,NA,NA,NA,NA,NA
7138,35,80.25,98,99,87,88,87,86
7138,36,80.5,100,68,77,86,82,100
7138,37,82.25,99,83,78,100,98,78
7138,38,85.5,100,80,85,99,100,98
7138,39,90.75,100,100,100,100,100,100
7138,40,NA,NA,NA,NA,NA,NA,NA
7138,41,NA,NA,NA,NA,NA,NA,NA
7138,42,NA,NA,NA,NA,NA,NA,NA
7139,1,58.25,83,78,46,33,63,61
7139,2,56,47,81,39,22,62,67
7139,3,NA,NA,NA,NA,NA,NA,NA
7139,4,33.25,48,51,30,3,55,40
7139,5,41.25,53,51,34,11,52,49
7139,6,51,42,54,8,6,52,89
7139,7,66,48,53,70,27,80,100
7139,8,56,67,53,34,12,71,4
7139,9,NA,NA,NA,NA,NA,NA,NA
7139,10,77.75,20,72,54,10,79,75
7139,11,64,54,53,48,22,36,51
7139,12,50.75,55,24,35,17,73,2
7139,13,61.75,65,68,66,18,76,75
7139,14,51,27,27,28,2,52,36
7139,15,NA,NA,NA,NA,NA,NA,NA
7139,16,2.5,1,1,0,1,4,3
7139,17,14.5,1,1,2,0,1,2
7139,18,29.5,51,35,35,31,63,65
7139,19,49.5,48,52,2,23,66,68
7139,20,57,70,34,53,15,66,81
7139,21,NA,NA,NA,NA,NA,NA,NA
7139,22,NA,NA,NA,NA,NA,NA,NA
7139,23,50.25,52,52,54,25,67,41
7139,24,64.25,55,51,20,28,70,52
7139,25,61.5,51,51,54,50,98,98
7139,26,58,46,48,44,24,67,73
7139,27,NA,NA,NA,NA,NA,NA,NA
7139,28,28.5,25,80,53,48,3,2
7139,29,48,52,52,53,23,67,67
7139,30,51.5,1,64,26,25,50,97
7139,31,41,NA,NA,NA,NA,NA,NA
7139,32,52.75,54,74,72,33,56,100
7139,33,NA,NA,NA,NA,NA,NA,NA
7139,34,51.25,29,37,51,1,49,48
7139,35,57.25,53,56,39,15,100,98
7139,36,NA,NA,NA,NA,NA,NA,NA
7139,37,NA,NA,NA,NA,NA,NA,NA
7139,38,55,57,51,36,32,63,67
7139,39,NA,NA,NA,NA,NA,NA,NA
7139,40,57,51,67,38,16,54,31
7139,41,39.75,32,59,35,1,54,97
7139,42,59.5,64,52,35,22,62,64
7140,1,63,58,59,57,47,58,52
7140,2,69.25,55,52,50,50,64,66
7140,3,NA,NA,NA,NA,NA,NA,NA
7140,4,56.25,58,60,59,60,59,66
7140,5,38,64,47,47,55,54,55
7140,6,57.75,49,49,55,40,64,60
7140,7,59.75,49,50,51,48,63,65
7140,8,NA,NA,NA,NA,NA,NA,NA
7140,9,NA,NA,NA,NA,NA,NA,NA
7140,10,61.5,65,64,65,63,61,73
7140,11,60.75,59,53,58,66,55,55
7140,12,65.25,52,54,60,62,74,69
7140,13,64.5,68,69,66,65,66,78
7140,14,NA,NA,NA,NA,NA,NA,NA
7140,15,NA,NA,NA,NA,NA,NA,NA
7140,16,64.75,69,70,65,68,65,85
7140,17,67.25,67,67,63,72,70,82
7140,18,NA,NA,NA,NA,NA,NA,NA
7140,19,76,72,64,64,68,70,87
7140,20,64,57,55,56,55,69,71
7140,21,NA,NA,NA,NA,NA,NA,NA
7140,22,60.5,62,56,57,63,69,67
7140,23,69.25,67,64,66,61,70,82
7140,24,NA,NA,NA,NA,NA,NA,NA
7140,25,NA,NA,NA,NA,NA,NA,NA
7140,26,82,55,55,53,57,73,70
7140,27,NA,NA,NA,NA,NA,NA,NA
7140,28,69.75,79,69,72,76,76,82
7140,29,68.25,67,64,69,72,65,66
7140,30,69.25,63,61,64,67,72,72
7140,31,70.5,80,72,68,69,74,75
7140,32,68.25,65,62,73,70,75,75
7140,33,NA,NA,NA,NA,NA,NA,NA
7140,34,67.75,69,66,62,65,70,70
7140,35,64.75,67,61,64,66,65,79
7140,36,63.5,60,63,63,75,70,68
7140,37,72,75,71,68,72,71,80
7140,38,69,66,66,64,60,72,71
7140,39,NA,NA,NA,NA,NA,NA,NA
7140,40,63.5,66,64,63,65,76,71
7140,41,69.25,65,67,67,66,68,82
7140,42,NA,NA,NA,NA,NA,NA,NA
7143,1,37.75,59,53,62,66,42,51
7143,2,61.25,68,50,37,51,61,47
7143,3,NA,NA,NA,NA,NA,NA,NA
7143,4,59,44,46,35,53,47,65
7143,5,65,22,39,28,42,67,70
7143,6,55,58,55,24,33,50,48
7143,7,76.5,55,28,55,55,85,66
7143,8,85,32,31,72,70,71,70
7143,9,NA,NA,NA,NA,NA,NA,NA
7143,10,77.25,77,74,94,68,78,53
7143,11,76.25,90,80,81,79,78,92
7143,12,82.25,48,85,93,91,94,79
7143,13,NA,NA,NA,NA,NA,NA,NA
7143,14,74.75,76,54,57,67,73,69
7143,15,NA,NA,NA,NA,NA,NA,NA
7143,16,52.75,71,48,54,37,72,67
7143,17,69.75,97,52,100,74,98,88
7143,18,79,83,77,65,67,82,78
7143,19,64.25,75,39,50,47,77,76
7143,20,54.5,51,37,36,51,72,81
7143,21,NA,NA,NA,NA,NA,NA,NA
7143,22,46.25,56,32,40,54,39,54
7143,23,65,63,70,26,65,39,70
7143,24,66,71,77,57,53,80,69
7143,25,NA,NA,NA,NA,NA,NA,NA
7143,26,72,63,37,44,47,70,65
7143,27,NA,NA,NA,NA,NA,NA,NA
7143,28,49.5,70,32,30,39,62,55
7143,29,NA,NA,NA,NA,NA,NA,NA
7143,30,NA,NA,NA,NA,NA,NA,NA
7143,31,NA,NA,NA,NA,NA,NA,NA
7143,32,65.25,60,36,30,46,70,76
7143,33,NA,NA,NA,NA,NA,NA,NA
7143,34,NA,NA,NA,NA,NA,NA,NA
7143,35,69,70,61,41,41,73,61
7143,36,NA,NA,NA,NA,NA,NA,NA
7143,37,68.5,57,67,35,53,71,71
7143,38,58.75,57,44,43,61,65,70
7143,39,NA,NA,NA,NA,NA,NA,NA
7143,40,62,74,45,60,20,66,32
7143,41,NA,NA,NA,NA,NA,NA,NA
7143,42,NA,NA,NA,NA,NA,NA,NA
7145,1,74.5,37,92,12,56,59,88
7145,2,NA,NA,NA,NA,NA,NA,NA
7145,3,NA,NA,NA,NA,NA,NA,NA
7145,4,48.25,90,91,23,52,54,88
7145,5,63,97,92,90,53,93,58
7145,6,91.75,52,47,47,65,38,74
7145,7,56,57,44,55,63,41,61
7145,8,75.75,42,44,41,37,80,80
7145,9,NA,NA,NA,NA,NA,NA,NA
7145,10,50.5,35,44,40,49,42,71
7145,11,27.5,97,54,11,92,90,55
7145,12,NA,NA,NA,NA,NA,NA,NA
7145,13,8.5,37,63,41,57,71,44
7145,14,NA,NA,NA,NA,NA,NA,NA
7145,15,NA,NA,NA,NA,NA,NA,NA
7145,16,NA,NA,NA,NA,NA,NA,NA
7145,17,56.75,6,17,11,56,80,51
7145,18,NA,NA,NA,NA,NA,NA,NA
7145,19,NA,NA,NA,NA,NA,NA,NA
7145,20,NA,NA,NA,NA,NA,NA,NA
7145,21,NA,NA,NA,NA,NA,NA,NA
7145,22,NA,NA,NA,NA,NA,NA,NA
7145,23,23.75,52,26,19,50,46,47
7145,24,69.75,93,93,92,100,95,94
7145,25,82,94,94,93,100,90,89
7145,26,70,10,10,17,13,18,15
7145,27,NA,NA,NA,NA,NA,NA,NA
7145,28,36,85,78,30,26,80,50
7145,29,NA,NA,NA,NA,NA,NA,NA
7145,30,59.5,82,71,73,68,58,60
7145,31,NA,NA,NA,NA,NA,NA,NA
7145,32,NA,NA,NA,NA,NA,NA,NA
7145,33,NA,NA,NA,NA,NA,NA,NA
7145,34,NA,NA,NA,NA,NA,NA,NA
7145,35,NA,NA,NA,NA,NA,NA,NA
7145,36,NA,NA,NA,NA,NA,NA,NA
7145,37,NA,NA,NA,NA,NA,NA,NA
7145,38,NA,NA,NA,NA,NA,NA,NA
7145,39,NA,NA,NA,NA,NA,NA,NA
7145,40,NA,NA,NA,NA,NA,NA,NA
7145,41,NA,NA,NA,NA,NA,NA,NA
7145,42,NA,NA,NA,NA,NA,NA,NA
7146,1,73,85,80,79,78,84,84
7146,2,79.75,87,78,80,83,80,78
7146,3,81.25,83,78,76,81,82,82
7146,4,NA,NA,NA,NA,NA,NA,NA
7146,5,69.5,54,67,56,73,74,73
7146,6,73,55,54,57,51,59,58
7146,7,39.5,70,67,74,71,70,77
7146,8,46.5,61,53,53,58,59,55
7146,9,NA,NA,NA,NA,NA,NA,NA
7146,10,NA,NA,NA,NA,NA,NA,NA
7146,11,72,78,77,76,81,78,82
7146,12,71.75,74,72,73,72,73,74
7146,13,71,71,75,77,71,76,74
7146,14,76,76,80,75,72,70,76
7146,15,74.75,75,70,76,74,74,75
7146,16,NA,NA,NA,NA,NA,NA,NA
7146,17,83,81,82,79,77,79,79
7146,18,78,78,77,78,82,83,75
7146,19,82,77,75,76,82,73,87
7146,20,77.5,83,66,77,81,78,74
7146,21,78.5,77,76,77,76,76,73
7146,22,NA,NA,NA,NA,NA,NA,NA
7146,23,67.75,67,68,70,70,77,50
7146,24,76.5,74,76,76,78,87,80
7146,25,76.75,73,73,77,75,73,90
7146,26,73.25,74,71,71,76,79,72
7146,27,75.25,74,76,79,69,74,75
7146,28,NA,NA,NA,NA,NA,NA,NA
7146,29,68.25,67,78,74,73,77,74
7146,30,54.25,52,58,61,70,74,75
7146,31,64.25,75,75,75,74,75,61
7146,32,60.25,55,54,52,53,52,45
7146,33,65.25,70,71,73,72,76,79
7146,34,NA,NA,NA,NA,NA,NA,NA
7146,35,74.25,73,73,73,77,74,74
7146,36,75,68,75,77,73,69,63
7146,37,70.5,70,69,74,68,74,74
7146,38,68.75,67,63,67,66,68,70
7146,39,NA,NA,NA,NA,NA,NA,NA
7146,40,NA,NA,NA,NA,NA,NA,NA
7146,41,77.75,74,74,78,77,81,79
7146,42,79.5,73,74,82,79,77,74
7149,1,32,66,34,45,49,52,71
7149,2,55.75,84,84,65,42,65,76
7149,3,57.75,91,77,82,85,88,83
7149,4,NA,NA,NA,NA,NA,NA,NA
7149,5,55,NA,NA,NA,NA,NA,NA
7149,6,51.25,70,73,74,53,79,69
7149,7,47.25,72,52,61,52,66,79
7149,8,76.25,NA,NA,NA,NA,NA,NA
7149,9,69.25,83,87,79,81,80,74
7149,10,NA,NA,NA,NA,NA,NA,NA
7149,11,NA,NA,NA,NA,NA,NA,NA
7149,12,60.5,41,41,52,48,60,79
7149,13,52.25,65,37,57,51,85,84
7149,14,49,76,77,81,81,79,78
7149,15,33.25,57,32,31,26,54,67
7149,16,NA,NA,NA,NA,NA,NA,NA
7149,17,NA,NA,NA,NA,NA,NA,NA
7149,18,32,33,17,21,16,92,88
7149,19,43.75,51,31,38,38,50,73
7149,20,29.75,53,28,32,31,65,80
7149,21,33.75,68,48,48,36,67,82
7149,22,NA,NA,NA,NA,NA,NA,NA
7149,23,NA,NA,NA,NA,NA,NA,NA
7149,24,3.25,1,1,1,0,51,76
7149,25,NA,NA,NA,NA,NA,NA,NA
7149,26,NA,NA,NA,NA,NA,NA,NA
7149,27,33,37,29,29,33,73,74
7149,28,NA,NA,NA,NA,NA,NA,NA
7149,29,78,92,94,91,68,98,99
7149,30,96.5,100,96,96,98,97,98
7149,31,90,97,97,96,97,97,99
7149,32,82.25,96,92,98,100,94,94
7149,33,88.25,92,91,84,80,90,96
7149,34,NA,NA,NA,NA,NA,NA,NA
7149,35,NA,NA,NA,NA,NA,NA,NA
7149,36,77.75,87,80,84,82,92,94
7149,37,84.5,100,99,98,97,97,100
7149,38,86,100,98,100,100,95,98
7149,39,75.5,97,92,91,91,94,93
7149,40,NA,NA,NA,NA,NA,NA,NA
7149,41,77.75,100,97,98,99,100,100
7149,42,NA,NA,NA,NA,NA,NA,NA
7150,1,59.5,76,52,55,37,43,97
7150,2,47,78,53,35,56,83,85
7150,3,NA,NA,NA,NA,NA,NA,NA
7150,4,66,75,55,55,85,73,95
7150,5,59.75,75,52,49,73,72,93
7150,6,53.75,74,32,54,55,77,97
7150,7,61,71,52,25,31,72,100
7150,8,65,71,18,22,21,89,97
7150,9,NA,NA,NA,NA,NA,NA,NA
7150,10,19.75,27,31,29,24,23,56
7150,11,NA,NA,NA,NA,NA,NA,NA
7150,12,NA,NA,NA,NA,NA,NA,NA
7150,13,6.75,27,33,32,4,8,33
7150,14,19.5,23,27,28,8,51,29
7150,15,NA,NA,NA,NA,NA,NA,NA
7150,16,23,32,35,13,5,54,53
7150,17,69.75,52,53,51,53,77,75
7150,18,49.75,51,51,43,42,70,83
7150,19,71,57,57,33,52,75,99
7150,20,17,19,23,3,4,66,52
7150,21,NA,NA,NA,NA,NA,NA,NA
7150,22,26.5,32,35,20,19,55,72
7150,23,NA,NA,NA,NA,NA,NA,NA
7150,24,45,51,53,53,52,78,78
7150,25,34.5,28,33,28,26,53,75
7150,26,40.5,57,53,50,52,72,79
7150,27,NA,NA,NA,NA,NA,NA,NA
7150,28,62,56,54,55,53,73,97
7150,29,62.5,55,17,14,17,71,98
7150,30,44.5,20,3,4,12,69,75
7150,31,20.25,25,15,14,0,75,81
7150,32,13,43,3,3,3,50,35
7150,33,NA,NA,NA,NA,NA,NA,NA
7150,34,18.5,53,15,12,16,56,69
7150,35,28.5,54,16,17,3,52,74
7150,36,18.5,15,1,2,3,27,75
7150,37,64.5,54,53,50,55,76,89
7150,38,NA,NA,NA,NA,NA,NA,NA
7150,39,NA,NA,NA,NA,NA,NA,NA
7150,40,23.25,55,32,36,14,41,71
7150,41,NA,NA,NA,NA,NA,NA,NA
7150,42,NA,NA,NA,NA,NA,NA,NA
7151,1,25.5,72,32,10,0,50,20
7151,2,27,59,34,51,32,63,51
7151,3,NA,NA,NA,NA,NA,NA,NA
7151,4,4.25,62,28,1,28,68,20
7151,5,NA,NA,NA,NA,NA,NA,NA
7151,6,1.5,57,10,14,16,59,41
7151,7,20.25,28,37,48,49,73,52
7151,8,2,13,16,15,1,36,33
7151,9,NA,NA,NA,NA,NA,NA,NA
7151,10,6.75,34,28,2,1,51,48
7151,11,4.25,42,1,28,1,51,38
7151,12,5.75,2,2,5,2,54,52
7151,13,8,66,44,37,22,48,44
7151,14,4,51,1,29,22,52,54
7151,15,NA,NA,NA,NA,NA,NA,NA
7151,16,0.75,44,49,50,44,49,48
7151,17,14.5,27,37,31,28,29,50
7151,18,6.25,34,29,26,10,34,32
7151,19,1.25,43,2,18,14,54,49
7151,20,2,47,19,12,18,50,49
7151,21,NA,NA,NA,NA,NA,NA,NA
7151,22,NA,NA,NA,NA,NA,NA,NA
7151,23,NA,NA,NA,NA,NA,NA,NA
7151,24,1,2,1,2,53,28,22
7151,25,0.75,0,0,1,0,35,29
7151,26,0,49,0,0,22,50,51
7151,27,NA,NA,NA,NA,NA,NA,NA
7151,28,4.5,45,39,1,1,40,25
